title,genre,national,num_off_box,true_num_off_box,차이 ,,,,,
인카네이트,thriller,America,30174,18028,12146,,,,,
프렌즈: 둥지탈출,animation,German,48043,16955,31088,,,,,
비스트 앵콜 콘서트 3D,show,SouthKorea,38483,16844,21639,,,,,
예전부터 계속 좋아했어 ~고백실행위원회~,animation,Japan,37556,16187,21369,,,,,
아기돼지 3형제와 쿵푸랜드,animation,China,250289,15885,234404,,,,,
어바웃 리키,dramas,America,41849,15867,25982,,,,,
극장판 샤이닝스타:새로운 루나퀸의 탄생!,animation,SouthKorea,-15129,15785,30914,,,,,
크리드2,action,America,53348,15023,38325,,,,,
"하늘을 나는 강아지, 비포와 친구들",animation,Israel,25523,14746,10777,,,,,
프로즌 그라운드,thriller,America,33928,13853,20075,,,,,
피치 퍼펙트,comedy,America,20390,13520,6870,,,,,
원피스 3D : 밀짚모자 체이스,animation,Japan,31388,13475,17913,,,,,
터미네이터 2 : 심판의 날 감독판,action,America,335547,13426,322121,,,,,
나이트폴,action,Hongkong,32456,13307,19149,,,,,
럼 다이어리,comedy,America,39340,12685,26655,,,,,
브로큰 시티,crime,America,21816,12557,9259,,,,,
리틀 맨하탄,melo/romance,America,97216,11909,85307,,,,,
검은손,horror,SouthKorea,20268,11650,8618,,,,,
출동! 소방관 샘: 외계인 대소동,animation,England,50939,11364,39575,,,,,
쓰리 세컨즈,dramas,Russia,59806,10659,49147,,,,,
당신에게도 사랑이 다시 찾아올까요?,melo/romance,America,55960,10328,45632,,,,,
토마스와 친구들: 우정의 대모험,animation,England,56424,10315,46109,,,,,
드래프트 데이,dramas,America,50202,10119,40083,,,,,
