순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
6073,유혹당한 요가교실,다카사카 나쿠시,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-03-01,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
6074,유혹은 폭풍속으로,이마오카 신지,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-12-22,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
6075,유혹의 덫,이민,(주)케이알씨지,,(주)케이알씨지,2017-06-19,개봉영화,장편,한국,1,2000,1,"2,000",1,멜로/로맨스,청소년관람불가,일반영화
6076,유혹의 덫 무삭제 특별판,이민,(주)케이알씨지,,(주)케이알씨지,2017-08-06,개봉영화,장편,한국,1,3000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6077,유흥1번가,야마우치 다이스케,,(주)에스와이미디어,(주)에스와이미디어,2018-12-21,개봉영화,장편,일본,1,5000,1,0,0,,청소년관람불가,일반영화
6078,육감적 여교사,카토 요시카즈,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-05-25,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
6079,육감적 허벅지 - 젊다,쿄우야 타다시,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2015-09-16,개봉영화,장편,일본,1,5000,1,0,0,성인물(에로),청소년관람불가,일반영화
6080,육감적인 물리치료사,후지모리 나카오,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-08-09,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
6081,육덕 도우미를 노리는 손길,타니자키 오사무,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-03-09,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
6082,육덕진 친척 아줌마,미나마 다이치,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2019-06-07,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
6083,육식계 간호사,모치나가 히토시,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-08-17,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
6084,육식녀 초식남 강간사건,오쿠 와타리,,파파나,파파나,2016-09-01,개봉영화,장편,일본,1,3000,1,0,0,성인물(에로),청소년관람불가,일반영화
6085,육욕의 속옷모델,테이 쟈가,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-08-23,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
6086,육체 단골 미용실,후지모리 카나,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2019-02-08,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
6087,육체 세일즈,후지모토 죠지,,(주)영진크리에이티브,(주)영진크리에이티브,2019-02-11,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6088,육체 해결사 - 특무과,쿠니사와 미노루,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-03-02,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
6089,육체가 아는 관계,이시노 쇼세이,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2015-10-14,개봉영화,장편,일본,1,5000,1,0,0,성인물(에로),청소년관람불가,일반영화
6090,육체관계,우타가와 다이고,,(유)조이앤컨텐츠그룹,(유)조이앤컨텐츠그룹,2015-07-23,개봉영화,장편,일본,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6091,육체노예 유부녀,우스바시 수이,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-06-01,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
6092,육체배달 온 전여친,사토 미키오,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2019-01-11,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
6093,육체영업의 꽃,모치나가 히토시,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2017-09-26,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
6094,육체의 결합 - 100일의 사랑,이마오카 신지,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2015-10-14,개봉영화,장편,일본,1,5000,1,0,0,성인물(에로),청소년관람불가,일반영화
6095,육체의 낙원-몸정,이케지마 유타카,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-10-06,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
6096,육체의 뒷거래,이즈미 류지,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2018-10-02,개봉영화,장편,일본,1,6000,1,0,0,성인물(에로),청소년관람불가,일반영화
6097,육체의 질주 - 단지처,카타오카 슈지,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-06-02,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
6098,육체잠입-섹스파일,하마노 사치,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-10-06,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
6099,은밀한 관계,김이슬,(주)영화사가을,,(주)영화사가을,2019-07-26,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6100,은밀한 비밀과외,시스위 우수바,,(주)트루에버,(주)트루에버,2019-03-27,개봉영화,장편,일본,1,1000,1,0,0,성인물(에로),청소년관람불가,일반영화
6101,은밀한 비밀과외 2,시스위 우수바,,(주)트루에버,(주)트루에버,2019-03-29,개봉영화,장편,일본,1,1000,1,0,0,성인물(에로),청소년관람불가,일반영화
6102,은밀한 쇼-꽃의 장,토모마츠 나오유키,,영화사마농주식회사,영화사마농주식회사,2019-03-16,개봉영화,장편,일본,1,2000,1,"2,000",1,멜로/로맨스,청소년관람불가,일반영화
6103,"은밀한 여관:먹고,자고,하고",히로아키,,(주)영진크리에이티브,(주)영진크리에이티브,2018-07-25,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6104,은밀한 접대:스폰서,나가에 타카미,,(주)영진크리에이티브,(주)영진크리에이티브,2017-09-11,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6105,은밀한 정사,사카모토 후토시,,(주)영진크리에이티브,(주)영진크리에이티브,2016-04-02,개봉영화,장편,일본,1,10000,1,"10,000",1,멜로/로맨스,청소년관람불가,일반영화
6106,은밀한쇼-달의장,토모마츠 나오유키,,영화사마농주식회사,영화사마농주식회사,2018-08-24,개봉영화,장편,일본,1,2000,1,"2,000",1,,청소년관람불가,일반영화
6107,음기로 가득한 유부녀,토리하마 히로시,,(주)영진크리에이티브,(주)영진크리에이티브,2019-03-11,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6108,음란 걸작의 탄생 실화,하야시카와 케이테루,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,2016-03-09,개봉영화,장편,일본,1,8000,1,0,0,성인물(에로),청소년관람불가,일반영화
6109,음란 과외,최우성,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,2016-11-29,개봉영화,장편,한국,1,5000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6110,음란 기생,김태수,너바나 필름,,(주)컨텐츠 빌리지,2017-06-14,개봉영화,장편,한국,1,3000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
6111,음란 미용실,나기라 겐조,,(주)라온컴퍼니플러스,(주)라온컴퍼니플러스,2019-03-03,개봉영화,장편,일본,1,5000,1,0,0,드라마,청소년관람불가,일반영화
6112,음란 병동:남편몰래 특별진료,나가에 타카미,,(주)영진크리에이티브,(주)영진크리에이티브,2018-12-14,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
